"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Belgium","BEL","Deposit interest rate (%)","FR.INR.DPST","3.1875","3.375","2.6875","2.583333333","3.35","3.5","3.65","3.666666666","3.1","4.5625","5.916666666","4.645833333","2.895833333","4.270833333","6.75","5.4125","5.620833333","5.458333333","4.5","5.5","7.688333333","7.500833333","7.458333333","6.666666666","7.4375","6.6875","5.33333333333333","5","4.54166666666667","5.125","6.125","6.25","6.25","7.105","4.8575","4.03916666666667","2.6625","2.87666666666667","3.01166666666667","2.42416666666667","3.58333333333333","3.4","2.59666666666667","1.6475","","","","","","","","","","","","",
"Benin","BEN","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","3","3","3","5.75","5.75","5.875","6","6","6","6","6.1875","6.25","7.75","7.5","7.25","7.25","6.08333333333333","5.25","5.25","6.41666666666667","7","7","7.75","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","",
"Burkina Faso","BFA","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","3","3","3","5.75","5.75","5.875","6","6","6","6","6.1875","6.25","7.75","7.5","7.25","7.25","6.08333333333333","5.25","5.25","6.41666666666667","7","7","7.75","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","",
"Bangladesh","BGD","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","6.75","7","7","7","8.25","12","12","12","12","12","12","12","12","12","12.04","12.05","10.4658333333333","8.17833333333333","6.40333333333333","6.04333333333333","7.28416666666667","8.11416666666667","8.42","8.74166666666667","8.56416666666667","8.495","8.16583333333333","7.82333333333333","7.10916666666667","8.0925","9.1125","9.17591666666667","9.65333333333333","8.205","7.1425","10.015","11.685","11.1852190431446","9.07689026792751","",
"Bulgaria","BGR","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.4916666666667","45.01","42.5583333333333","51.135","35.9441666666667","74.6808333333333","46.8283333333333","2.99833333333333","3.21333333333333","3.10166666666667","2.91938333333333","2.80316666666667","2.93229166666667","3.04970833333333","3.08435","3.17256666666667","3.68195","4.44464166666667","6.1775","4.076075","3.36826666666667","3.08416666666667","2.41330833333333","1.65581666666667","",
"Bahrain","BHR","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","6.5","6.5","6.5","6.833333333","7.875","9","8.583333333","7","7","6.708333333","5.58333333333333","5","5.5","7.33333333333333","7.5","","3.625","3.025","4","5.7","5.175","5.275","4.735","4.795","5.8175","2.7075","1.335","1.475","1.5425","3.1425","4.37","4.485","1.6475","1.58166666666667","1.225","1.0225","1.08416666666667","1.05833333333333","0.981666666666668","",
"Bahamas, The","BHS","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","6.957499999","7.4775","7.5575","7.46749999975","7.439999999","6.39833333333333","5.57","5.5","5.97","6.48333333333333","6.57083333333333","6.91666666666667","6.13333333333333","5.19","4.30083333333333","4.19666666666667","5.13583333333333","5.22833333333333","5.3625","4.5725","4.07916666666667","4.24583333333333","4.25166666666667","3.94916666666667","3.825","3.22333333333333","3.35833333333333","3.69083333333333","3.92083333333333","3.7825","3.44083333333333","2.63369186955964","2.01208333333333","1.68","1.4175","",
"Bosnia and Herzegovina","BIH","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.88","29.2141666666667","16.0021666666667","","4.52833333333333","4.025","3.72083333333333","3.56416666666667","3.69333333333333","3.55583333333333","3.485","3.6","3.15916666666667","2.79583333333333","3.21404978640065","3.03145128061702","2.66627745251891","",
"Belarus","BLR","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.075","89.6","100.816666666667","32.3583333333333","15.6416666666667","14.3333333333333","23.8","37.55","34.175","26.85","17.4416666666667","12.7166666666667","9.23333333333333","7.68333333333333","8.30833333333333","8.525","10.6833333333333","9.09166666666666","13.3083333333333","22.3","20.2583333333333","18.5833333333333","",
"Belize","BLZ","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","7.099999999","6.699999999","6.799999999","6.799999999","11.175","14.675","14.866666666","11.3","9.074999999","11.6249999996667","11.8333333333333","9.58333333333333","8.41666666666667","7.85833333333333","8.14166666666667","8.41666666666667","8.15","8.13333333333333","8.55","9.36666666666667","9.075","9.18583333333333","8.75583333333333","8.12166666666667","7.69416666666667","6.35333333333333","6.28","6.93416666666667","7.41916666666667","7.71166666666667","8.155","8.3225","8.4575","8.3725","7.76083333333334","6.44083333333333","4.4125","3.585","2.89706136795201","",
"Bermuda","BMU","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","16","18","28.4166666666667","30.3333333333333","39.8333333333333","108.333333333333","68.75","33.39","30.35","27.7375","23.6666666666667","23.8341666666667","23.775","23.2233333333333","22.1808333333333","18.4316666666667","18.87","19.1583333333333","14.7283333333333","12.8191666666667","12.2591666666667","10.9825","9.81876220185975","9.57995151332266","11.4099033747003","7.41976666666667","4.93408333333333","4.02650833333333","3.54554166666667","4.65583333333333","3.43928333333333","1.04666851541744","1.40303615507917","1.62615307127361","1.73918352499664","2.95013680512337","",
